idUser,IdImage,election
4,20,0
4,1,0
4,2,1
4,3,1
4,4,1
4,5,0
4,6,0
4,7,1
4,8,0
4,9,1
4,10,1
4,11,1
4,12,1
4,13,0
4,14,1
4,15,1
4,16,1
4,17,1
4,18,0
4,19,0
4,20,0
test0,0,0
test0,1,0
test0,2,0
test0,3,0
test0,4,0
test0,5,0
test0,6,0
test0,7,0
test0,8,0
test0,9,0
test0,10,0
test0,11,0
test0,12,0
test0,13,0
test0,14,0
test0,15,0
test0,16,0
test0,17,0
test0,18,0
test0,19,0
test1,0,0
test1,1,0
test1,2,0
test1,3,0
test1,4,0
test1,5,0
test1,6,0
test1,7,0
test1,8,0
test1,9,0
test1,10,0
test1,11,0
test1,12,0
test1,13,0
test1,14,0
test1,15,0
test1,16,0
test1,17,0
test1,18,0
test1,19,0
test0,0,0
test0,1,0
test0,2,0
test0,3,0
test0,4,0
test0,5,0
test0,6,0
test0,7,0
test0,8,0
test0,9,0
test0,10,0
test0,11,0
test0,12,0
test0,13,0
test0,14,0
test0,15,0
test0,16,0
test0,17,0
test0,18,0
test0,19,0
test0,20,0
test1,0,0
test1,1,0
test1,2,0
test1,3,0
test1,4,0
test1,5,0
test1,6,0
test1,7,0
test1,8,0
test1,9,0
test1,10,0
test1,11,0
test1,12,0
test1,13,0
test1,14,0
test1,15,0
test1,16,0
test1,17,0
test1,18,0
test1,19,0
test1,20,0
test0,0,0
test0,1,0
test0,2,0
test0,3,0
test0,4,0
test0,5,0
test0,6,0
test0,7,0
test0,8,0
test0,9,0
test0,10,0
test0,11,0
test0,12,0
test0,13,0
test0,14,0
test0,15,0
test0,16,0
test0,17,0
test0,18,0
test0,19,0
test0,20,0
test1,0,0
test1,1,0
test1,2,0
test1,3,0
test1,4,0
test1,5,0
test1,6,0
test1,7,0
test1,8,0
test1,9,0
test1,10,0
test1,11,0
test1,12,0
test1,13,0
test1,14,0
test1,15,0
test1,16,0
test1,17,0
test1,18,0
test1,19,0
test1,20,0
test0,0,0
test0,1,0
test0,2,0
test0,3,0
test0,4,0
test0,5,0
test0,6,0
test0,7,0
test0,8,0
test0,9,0
test0,10,0
test0,11,0
test0,12,0
test0,13,0
test0,14,0
test0,15,0
test0,16,0
test0,17,0
test0,18,0
test0,19,0
test0,20,0
test1,0,0
test1,1,0
test1,2,0
test1,3,0
test1,4,0
test1,5,0
test1,6,0
test1,7,0
test1,8,0
test1,9,0
test1,10,0
test1,11,0
test1,12,0
test1,13,0
test1,14,0
test1,15,0
test1,16,0
test1,17,0
test1,18,0
test1,19,0
test1,20,0
